A = 0000, B = 0000, Cin = 0, Cout = 0, S = 0000
A = c91b, B = d548, Cin = 0, Cout = 1, S = 9e63
A = c91b, B = 31f9, Cin = 0, Cout = 0, S = fb14
A = c91b, B = a33c, Cin = 0, Cout = 1, S = 6c57
A = c91b, B = 0421, Cin = 0, Cout = 0, S = cd3c
A = c91b, B = c0c2, Cin = 0, Cout = 1, S = 89dd
A = c91b, B = f89a, Cin = 0, Cout = 1, S = c1b5
A = c91b, B = 173e, Cin = 0, Cout = 0, S = e059
A = c91b, B = 4a0b, Cin = 0, Cout = 1, S = 1326
A = c91b, B = cdf5, Cin = 0, Cout = 1, S = 9710
A = c91b, B = 415a, Cin = 0, Cout = 1, S = 0a75
A = c91b, B = 9bbe, Cin = 0, Cout = 1, S = 64d9
A = c91b, B = d3ad, Cin = 0, Cout = 1, S = 9cc8
A = c91b, B = 7290, Cin = 0, Cout = 1, S = 3bab
A = c91b, B = eea6, Cin = 0, Cout = 1, S = b7c1
A = c91b, B = 433d, Cin = 0, Cout = 1, S = 0c58
A = c91b, B = c25e, Cin = 0, Cout = 1, S = 8b79
A = c91b, B = db5b, Cin = 0, Cout = 1, S = a476
A = c91b, B = a379, Cin = 0, Cout = 1, S = 6c94
A = c91b, B = 9d09, Cin = 0, Cout = 1, S = 6624
A = c91b, B = 746c, Cin = 0, Cout = 1, S = 3d87
A = c91b, B = f884, Cin = 0, Cout = 1, S = c19f
A = c91b, B = 860a, Cin = 0, Cout = 1, S = 4f25
A = c91b, B = 9363, Cin = 0, Cout = 1, S = 5c7e
A = c91b, B = 8712, Cin = 0, Cout = 1, S = 502d
A = c91b, B = 62f7, Cin = 0, Cout = 1, S = 2c12
A = c91b, B = 3278, Cin = 0, Cout = 0, S = fb93
A = fa50, B = 0000, Cin = 0, Cout = 0, S = fa50
A = fa50, B = 0001, Cin = 0, Cout = 0, S = fa51
A = fa50, B = 1111, Cin = 0, Cout = 1, S = 0b61
A = fa50, B = aaaa, Cin = 0, Cout = 1, S = a4fa
A = fa50, B = 5555, Cin = 0, Cout = 1, S = 4fa5
A = fa50, B = ffff, Cin = 0, Cout = 1, S = fa4f
A = fa50, B = ff00, Cin = 0, Cout = 1, S = f950
A = fa50, B = 00ff, Cin = 0, Cout = 0, S = fb4f
A = fa50, B = 7fff, Cin = 0, Cout = 1, S = 7a4f
A = fa50, B = 8000, Cin = 0, Cout = 1, S = 7a50
A = fa50, B = f9e8, Cin = 0, Cout = 1, S = f438
A = fa50, B = c91b, Cin = 0, Cout = 1, S = c36b
A = fa50, B = fa50, Cin = 0, Cout = 1, S = f4a0
A = fa50, B = 92a3, Cin = 0, Cout = 1, S = 8cf3
A = fa50, B = b84e, Cin = 0, Cout = 1, S = b29e
A = fa50, B = 7da2, Cin = 0, Cout = 1, S = 77f2
A = fa50, B = 05a5, Cin = 0, Cout = 0, S = fff5
A = fa50, B = 6ea1, Cin = 0, Cout = 1, S = 68f1
A = fa50, B = 6740, Cin = 0, Cout = 1, S = 6190
A = fa50, B = aa06, Cin = 0, Cout = 1, S = a456
A = fa50, B = 7707, Cin = 0, Cout = 1, S = 7157
A = fa50, B = 661e, Cin = 0, Cout = 1, S = 606e
A = fa50, B = aa27, Cin = 0, Cout = 1, S = a477
A = fa50, B = 9475, Cin = 0, Cout = 1, S = 8ec5
A = fa50, B = 3cb2, Cin = 0, Cout = 1, S = 3702
A = fa50, B = 5b5d, Cin = 0, Cout = 1, S = 55ad
A = fa50, B = 2875, Cin = 0, Cout = 1, S = 22c5
A = fa50, B = ab6b, Cin = 0, Cout = 1, S = a5bb
A = fa50, B = 1bcd, Cin = 0, Cout = 1, S = 161d
A = fa50, B = 8f61, Cin = 0, Cout = 1, S = 89b1
A = fa50, B = ef5c, Cin = 0, Cout = 1, S = e9ac
A = fa50, B = e08c, Cin = 0, Cout = 1, S = dadc
A = fa50, B = be66, Cin = 0, Cout = 1, S = b8b6
A = fa50, B = a2ce, Cin = 0, Cout = 1, S = 9d1e
A = fa50, B = 71b2, Cin = 0, Cout = 1, S = 6c02
A = fa50, B = a50d, Cin = 0, Cout = 1, S = 9f5d
A = fa50, B = 6c3f, Cin = 0, Cout = 1, S = 668f
A = fa50, B = 5b04, Cin = 0, Cout = 1, S = 5554
A = fa50, B = d88a, Cin = 0, Cout = 1, S = d2da
A = fa50, B = 1321, Cin = 0, Cout = 1, S = 0d71
A = fa50, B = 5183, Cin = 0, Cout = 1, S = 4bd3
A = fa50, B = 90a4, Cin = 0, Cout = 1, S = 8af4
A = fa50, B = e310, Cin = 0, Cout = 1, S = dd60
A = fa50, B = 3e8c, Cin = 0, Cout = 1, S = 38dc
A = fa50, B = 5ce3, Cin = 0, Cout = 1, S = 5733
A = fa50, B = 1d12, Cin = 0, Cout = 1, S = 1762
A = fa50, B = 869d, Cin = 0, Cout = 1, S = 80ed
A = fa50, B = 4cad, Cin = 0, Cout = 1, S = 46fd
A = fa50, B = 7940, Cin = 0, Cout = 1, S = 7390
A = fa50, B = 0b63, Cin = 0, Cout = 1, S = 05b3
A = fa50, B = d71b, Cin = 0, Cout = 1, S = d16b
A = fa50, B = 654c, Cin = 0, Cout = 1, S = 5f9c
A = fa50, B = 8c4a, Cin = 0, Cout = 1, S = 869a
A = fa50, B = 60c5, Cin = 0, Cout = 1, S = 5b15
A = fa50, B = 0de9, Cin = 0, Cout = 1, S = 0839
A = fa50, B = 3472, Cin = 0, Cout = 1, S = 2ec2
A = fa50, B = 6930, Cin = 0, Cout = 1, S = 6380
A = fa50, B = 84f7, Cin = 0, Cout = 1, S = 7f47
A = fa50, B = 363d, Cin = 0, Cout = 1, S = 308d
A = fa50, B = 62e7, Cin = 0, Cout = 1, S = 5d37
A = fa50, B = 0c50, Cin = 0, Cout = 1, S = 06a0
A = fa50, B = b32c, Cin = 0, Cout = 1, S = ad7c
A = fa50, B = 22da, Cin = 0, Cout = 1, S = 1d2a
A = fa50, B = 27f2, Cin = 0, Cout = 1, S = 2242
A = fa50, B = 95af, Cin = 0, Cout = 1, S = 8fff
A = fa50, B = c86f, Cin = 0, Cout = 1, S = c2bf
A = fa50, B = 24bd, Cin = 0, Cout = 1, S = 1f0d
A = fa50, B = 3eed, Cin = 0, Cout = 1, S = 393d
A = fa50, B = 68bd, Cin = 0, Cout = 1, S = 630d
A = fa50, B = 85ce, Cin = 0, Cout = 1, S = 801e
A = fa50, B = 9c7e, Cin = 0, Cout = 1, S = 96ce
A = fa50, B = db66, Cin = 0, Cout = 1, S = d5b6
A = fa50, B = a641, Cin = 0, Cout = 1, S = a091
A = fa50, B = 75a8, Cin = 0, Cout = 1, S = 6ff8
A = fa50, B = d548, Cin = 0, Cout = 1, S = cf98
A = fa50, B = 31f9, Cin = 0, Cout = 1, S = 2c49
A = fa50, B = a33c, Cin = 0, Cout = 1, S = 9d8c
A = fa50, B = 0421, Cin = 0, Cout = 0, S = fe71
A = fa50, B = c0c2, Cin = 0, Cout = 1, S = bb12
A = fa50, B = f89a, Cin = 0, Cout = 1, S = f2ea
A = fa50, B = 173e, Cin = 0, Cout = 1, S = 118e
A = fa50, B = 4a0b, Cin = 0, Cout = 1, S = 445b
A = fa50, B = cdf5, Cin = 0, Cout = 1, S = c845
A = fa50, B = 415a, Cin = 0, Cout = 1, S = 3baa
A = fa50, B = 9bbe, Cin = 0, Cout = 1, S = 960e
A = fa50, B = d3ad, Cin = 0, Cout = 1, S = cdfd
A = fa50, B = 7290, Cin = 0, Cout = 1, S = 6ce0
A = fa50, B = eea6, Cin = 0, Cout = 1, S = e8f6
A = fa50, B = 433d, Cin = 0, Cout = 1, S = 3d8d
A = fa50, B = c25e, Cin = 0, Cout = 1, S = bcae
A = fa50, B = db5b, Cin = 0, Cout = 1, S = d5ab
A = fa50, B = a379, Cin = 0, Cout = 1, S = 9dc9
A = fa50, B = 9d09, Cin = 0, Cout = 1, S = 9759
A = fa50, B = 746c, Cin = 0, Cout = 1, S = 6ebc
A = fa50, B = f884, Cin = 0, Cout = 1, S = f2d4
A = fa50, B = 860a, Cin = 0, Cout = 1, S = 805a
A = fa50, B = 9363, Cin = 0, Cout = 1, S = 8db3
A = fa50, B = 8712, Cin = 0, Cout = 1, S = 8162
A = fa50, B = 62f7, Cin = 0, Cout = 1, S = 5d47
A = fa50, B = 3278, Cin = 0, Cout = 1, S = 2cc8
A = 92a3, B = 0000, Cin = 0, Cout = 0, S = 92a3
A = 92a3, B = 0001, Cin = 0, Cout = 0, S = 92a4
A = 92a3, B = 1111, Cin = 0, Cout = 0, S = a3b4
A = 92a3, B = aaaa, Cin = 0, Cout = 1, S = 3d4d
A = 92a3, B = 5555, Cin = 0, Cout = 0, S = e7f8
A = 92a3, B = ffff, Cin = 0, Cout = 1, S = 92a2
A = 92a3, B = ff00, Cin = 0, Cout = 1, S = 91a3
A = 92a3, B = 00ff, Cin = 0, Cout = 0, S = 93a2
A = 92a3, B = 7fff, Cin = 0, Cout = 1, S = 12a2
A = 92a3, B = 8000, Cin = 0, Cout = 1, S = 12a3
A = 92a3, B = f9e8, Cin = 0, Cout = 1, S = 8c8b
A = 92a3, B = c91b, Cin = 0, Cout = 1, S = 5bbe
A = 92a3, B = fa50, Cin = 0, Cout = 1, S = 8cf3
A = 92a3, B = 92a3, Cin = 0, Cout = 1, S = 2546
A = 92a3, B = b84e, Cin = 0, Cout = 1, S = 4af1
A = 92a3, B = 7da2, Cin = 0, Cout = 1, S = 1045
A = 92a3, B = 05a5, Cin = 0, Cout = 0, S = 9848
A = 92a3, B = 6ea1, Cin = 0, Cout = 1, S = 0144
A = 92a3, B = 6740, Cin = 0, Cout = 0, S = f9e3
A = 92a3, B = aa06, Cin = 0, Cout = 1, S = 3ca9
A = 92a3, B = 7707, Cin = 0, Cout = 1, S = 09aa
A = 92a3, B = 661e, Cin = 0, Cout = 0, S = f8c1
A = 92a3, B = aa27, Cin = 0, Cout = 1, S = 3cca
A = 92a3, B = 9475, Cin = 0, Cout = 1, S = 2718
A = 92a3, B = 3cb2, Cin = 0, Cout = 0, S = cf55
A = 92a3, B = 5b5d, Cin = 0, Cout = 0, S = ee00
A = 92a3, B = 2875, Cin = 0, Cout = 0, S = bb18
A = 92a3, B = ab6b, Cin = 0, Cout = 1, S = 3e0e
A = 92a3, B = 1bcd, Cin = 0, Cout = 0, S = ae70
A = 92a3, B = 8f61, Cin = 0, Cout = 1, S = 2204
A = 92a3, B = ef5c, Cin = 0, Cout = 1, S = 81ff
A = 92a3, B = e08c, Cin = 0, Cout = 1, S = 732f
A = 92a3, B = be66, Cin = 0, Cout = 1, S = 5109
A = 92a3, B = a2ce, Cin = 0, Cout = 1, S = 3571
A = 92a3, B = 71b2, Cin = 0, Cout = 1, S = 0455
A = 92a3, B = a50d, Cin = 0, Cout = 1, S = 37b0
A = 92a3, B = 6c3f, Cin = 0, Cout = 0, S = fee2
A = 92a3, B = 5b04, Cin = 0, Cout = 0, S = eda7
A = 92a3, B = d88a, Cin = 0, Cout = 1, S = 6b2d
A = 92a3, B = 1321, Cin = 0, Cout = 0, S = a5c4
A = 92a3, B = 5183, Cin = 0, Cout = 0, S = e426
A = 92a3, B = 90a4, Cin = 0, Cout = 1, S = 2347
A = 92a3, B = e310, Cin = 0, Cout = 1, S = 75b3
A = 92a3, B = 3e8c, Cin = 0, Cout = 0, S = d12f
A = 92a3, B = 5ce3, Cin = 0, Cout = 0, S = ef86
A = 92a3, B = 1d12, Cin = 0, Cout = 0, S = afb5
A = 92a3, B = 869d, Cin = 0, Cout = 1, S = 1940
A = 92a3, B = 4cad, Cin = 0, Cout = 0, S = df50
A = 92a3, B = 7940, Cin = 0, Cout = 1, S = 0be3
A = 92a3, B = 0b63, Cin = 0, Cout = 0, S = 9e06
A = 92a3, B = d71b, Cin = 0, Cout = 1, S = 69be
A = 92a3, B = 654c, Cin = 0, Cout = 0, S = f7ef
A = 92a3, B = 8c4a, Cin = 0, Cout = 1, S = 1eed
A = 92a3, B = 60c5, Cin = 0, Cout = 0, S = f368
A = 92a3, B = 0de9, Cin = 0, Cout = 0, S = a08c
A = 92a3, B = 3472, Cin = 0, Cout = 0, S = c715
A = 92a3, B = 6930, Cin = 0, Cout = 0, S = fbd3
A = 92a3, B = 84f7, Cin = 0, Cout = 1, S = 179a
A = 92a3, B = 363d, Cin = 0, Cout = 0, S = c8e0
A = 92a3, B = 62e7, Cin = 0, Cout = 0, S = f58a
A = 92a3, B = 0c50, Cin = 0, Cout = 0, S = 9ef3
A = 92a3, B = b32c, Cin = 0, Cout = 1, S = 45cf
A = 92a3, B = 22da, Cin = 0, Cout = 0, S = b57d
A = 92a3, B = 27f2, Cin = 0, Cout = 0, S = ba95
A = 92a3, B = 95af, Cin = 0, Cout = 1, S = 2852
A = 92a3, B = c86f, Cin = 0, Cout = 1, S = 5b12
A = 92a3, B = 24bd, Cin = 0, Cout = 0, S = b760
A = 92a3, B = 3eed, Cin = 0, Cout = 0, S = d190
A = 92a3, B = 68bd, Cin = 0, Cout = 0, S = fb60
A = 92a3, B = 85ce, Cin = 0, Cout = 1, S = 1871
A = 92a3, B = 9c7e, Cin = 0, Cout = 1, S = 2f21
A = 92a3, B = db66, Cin = 0, Cout = 1, S = 6e09
A = 92a3, B = a641, Cin = 0, Cout = 1, S = 38e4
A = 92a3, B = 75a8, Cin = 0, Cout = 1, S = 084b
A = 92a3, B = d548, Cin = 0, Cout = 1, S = 67eb
A = 92a3, B = 31f9, Cin = 0, Cout = 0, S = c49c
A = 92a3, B = a33c, Cin = 0, Cout = 1, S = 35df
A = 92a3, B = 0421, Cin = 0, Cout = 0, S = 96c4
A = 92a3, B = c0c2, Cin = 0, Cout = 1, S = 5365
A = 92a3, B = f89a, Cin = 0, Cout = 1, S = 8b3d
A = 92a3, B = 173e, Cin = 0, Cout = 0, S = a9e1
A = 92a3, B = 4a0b, Cin = 0, Cout = 0, S = dcae
A = 92a3, B = cdf5, Cin = 0, Cout = 1, S = 6098
A = 92a3, B = 415a, Cin = 0, Cout = 0, S = d3fd
A = 92a3, B = 9bbe, Cin = 0, Cout = 1, S = 2e61
A = 92a3, B = d3ad, Cin = 0, Cout = 1, S = 6650
A = 92a3, B = 7290, Cin = 0, Cout = 1, S = 0533
A = 92a3, B = eea6, Cin = 0, Cout = 1, S = 8149
A = 92a3, B = 433d, Cin = 0, Cout = 0, S = d5e0
A = 92a3, B = c25e, Cin = 0, Cout = 1, S = 5501
A = 92a3, B = db5b, Cin = 0, Cout = 1, S = 6dfe
A = 92a3, B = a379, Cin = 0, Cout = 1, S = 361c
A = 92a3, B = 9d09, Cin = 0, Cout = 1, S = 2fac
A = 92a3, B = 746c, Cin = 0, Cout = 1, S = 070f
A = 92a3, B = f884, Cin = 0, Cout = 1, S = 8b27
A = 92a3, B = 860a, Cin = 0, Cout = 1, S = 18ad
A = 92a3, B = 9363, Cin = 0, Cout = 1, S = 2606
A = 92a3, B = 8712, Cin = 0, Cout = 1, S = 19b5
A = 92a3, B = 62f7, Cin = 0, Cout = 0, S = f59a
A = 92a3, B = 3278, Cin = 0, Cout = 0, S = c51b
A = b84e, B = 0000, Cin = 0, Cout = 0, S = b84e
A = b84e, B = 0001, Cin = 0, Cout = 0, S = b84f
A = b84e, B = 1111, Cin = 0, Cout = 0, S = c95f
A = b84e, B = aaaa, Cin = 0, Cout = 1, S = 62f8
A = b84e, B = 5555, Cin = 0, Cout = 1, S = 0da3
A = b84e, B = ffff, Cin = 0, Cout = 1, S = b84d
A = b84e, B = ff00, Cin = 0, Cout = 1, S = b74e
A = b84e, B = 00ff, Cin = 0, Cout = 0, S = b94d
A = b84e, B = 7fff, Cin = 0, Cout = 1, S = 384d
A = b84e, B = 8000, Cin = 0, Cout = 1, S = 384e
A = b84e, B = f9e8, Cin = 0, Cout = 1, S = b236
A = b84e, B = c91b, Cin = 0, Cout = 1, S = 8169
A = b84e, B = fa50, Cin = 0, Cout = 1, S = b29e
A = b84e, B = 92a3, Cin = 0, Cout = 1, S = 4af1
A = b84e, B = b84e, Cin = 0, Cout = 1, S = 709c
A = b84e, B = 7da2, Cin = 0, Cout = 1, S = 35f0
A = b84e, B = 05a5, Cin = 0, Cout = 0, S = bdf3
A = b84e, B = 6ea1, Cin = 0, Cout = 1, S = 26ef
A = b84e, B = 6740, Cin = 0, Cout = 1, S = 1f8e
A = b84e, B = aa06, Cin = 0, Cout = 1, S = 6254
A = b84e, B = 7707, Cin = 0, Cout = 1, S = 2f55
A = b84e, B = 661e, Cin = 0, Cout = 1, S = 1e6c
A = b84e, B = aa27, Cin = 0, Cout = 1, S = 6275
A = b84e, B = 9475, Cin = 0, Cout = 1, S = 4cc3
A = b84e, B = 3cb2, Cin = 0, Cout = 0, S = f500
A = b84e, B = 5b5d, Cin = 0, Cout = 1, S = 13ab
A = b84e, B = 2875, Cin = 0, Cout = 0, S = e0c3
A = b84e, B = ab6b, Cin = 0, Cout = 1, S = 63b9
A = b84e, B = 1bcd, Cin = 0, Cout = 0, S = d41b
A = b84e, B = 8f61, Cin = 0, Cout = 1, S = 47af
A = b84e, B = ef5c, Cin = 0, Cout = 1, S = a7aa
A = b84e, B = e08c, Cin = 0, Cout = 1, S = 98da
A = b84e, B = be66, Cin = 0, Cout = 1, S = 76b4
A = b84e, B = a2ce, Cin = 0, Cout = 1, S = 5b1c
A = b84e, B = 71b2, Cin = 0, Cout = 1, S = 2a00
A = b84e, B = a50d, Cin = 0, Cout = 1, S = 5d5b
A = b84e, B = 6c3f, Cin = 0, Cout = 1, S = 248d
A = b84e, B = 5b04, Cin = 0, Cout = 1, S = 1352
A = b84e, B = d88a, Cin = 0, Cout = 1, S = 90d8
A = b84e, B = 1321, Cin = 0, Cout = 0, S = cb6f
A = b84e, B = 5183, Cin = 0, Cout = 1, S = 09d1
A = b84e, B = 90a4, Cin = 0, Cout = 1, S = 48f2
A = b84e, B = e310, Cin = 0, Cout = 1, S = 9b5e
A = b84e, B = 3e8c, Cin = 0, Cout = 0, S = f6da
A = b84e, B = 5ce3, Cin = 0, Cout = 1, S = 1531
A = b84e, B = 1d12, Cin = 0, Cout = 0, S = d560
A = b84e, B = 869d, Cin = 0, Cout = 1, S = 3eeb
A = b84e, B = 4cad, Cin = 0, Cout = 1, S = 04fb
A = b84e, B = 7940, Cin = 0, Cout = 1, S = 318e
A = b84e, B = 0b63, Cin = 0, Cout = 0, S = c3b1
A = b84e, B = d71b, Cin = 0, Cout = 1, S = 8f69
A = b84e, B = 654c, Cin = 0, Cout = 1, S = 1d9a
A = b84e, B = 8c4a, Cin = 0, Cout = 1, S = 4498
A = b84e, B = 60c5, Cin = 0, Cout = 1, S = 1913
A = b84e, B = 0de9, Cin = 0, Cout = 0, S = c637
A = b84e, B = 3472, Cin = 0, Cout = 0, S = ecc0
A = b84e, B = 6930, Cin = 0, Cout = 1, S = 217e
A = b84e, B = 84f7, Cin = 0, Cout = 1, S = 3d45
A = b84e, B = 363d, Cin = 0, Cout = 0, S = ee8b
A = b84e, B = 62e7, Cin = 0, Cout = 1, S = 1b35
A = b84e, B = 0c50, Cin = 0, Cout = 0, S = c49e
A = b84e, B = b32c, Cin = 0, Cout = 1, S = 6b7a
A = b84e, B = 22da, Cin = 0, Cout = 0, S = db28
A = b84e, B = 27f2, Cin = 0, Cout = 0, S = e040
A = b84e, B = 95af, Cin = 0, Cout = 1, S = 4dfd
A = b84e, B = c86f, Cin = 0, Cout = 1, S = 80bd
A = b84e, B = 24bd, Cin = 0, Cout = 0, S = dd0b
A = b84e, B = 3eed, Cin = 0, Cout = 0, S = f73b
A = b84e, B = 68bd, Cin = 0, Cout = 1, S = 210b
A = b84e, B = 85ce, Cin = 0, Cout = 1, S = 3e1c
A = b84e, B = 9c7e, Cin = 0, Cout = 1, S = 54cc
A = b84e, B = db66, Cin = 0, Cout = 1, S = 93b4
A = b84e, B = a641, Cin = 0, Cout = 1, S = 5e8f
A = b84e, B = 75a8, Cin = 0, Cout = 1, S = 2df6
A = b84e, B = d548, Cin = 0, Cout = 1, S = 8d96
A = b84e, B = 31f9, Cin = 0, Cout = 0, S = ea47
A = b84e, B = a33c, Cin = 0, Cout = 1, S = 5b8a
A = b84e, B = 0421, Cin = 0, Cout = 0, S = bc6f
A = b84e, B = c0c2, Cin = 0, Cout = 1, S = 7910
A = b84e, B = f89a, Cin = 0, Cout = 1, S = b0e8
A = b84e, B = 173e, Cin = 0, Cout = 0, S = cf8c
A = b84e, B = 4a0b, Cin = 0, Cout = 1, S = 0259
A = b84e, B = cdf5, Cin = 0, Cout = 1, S = 8643
A = b84e, B = 415a, Cin = 0, Cout = 0, S = f9a8
A = b84e, B = 9bbe, Cin = 0, Cout = 1, S = 540c
A = b84e, B = d3ad, Cin = 0, Cout = 1, S = 8bfb
A = b84e, B = 7290, Cin = 0, Cout = 1, S = 2ade
A = b84e, B = eea6, Cin = 0, Cout = 1, S = a6f4
A = b84e, B = 433d, Cin = 0, Cout = 0, S = fb8b
A = b84e, B = c25e, Cin = 0, Cout = 1, S = 7aac
A = b84e, B = db5b, Cin = 0, Cout = 1, S = 93a9
A = b84e, B = a379, Cin = 0, Cout = 1, S = 5bc7
A = b84e, B = 9d09, Cin = 0, Cout = 1, S = 5557
A = b84e, B = 746c, Cin = 0, Cout = 1, S = 2cba
A = b84e, B = f884, Cin = 0, Cout = 1, S = b0d2
A = b84e, B = 860a, Cin = 0, Cout = 1, S = 3e58
A = b84e, B = 9363, Cin = 0, Cout = 1, S = 4bb1
A = b84e, B = 8712, Cin = 0, Cout = 1, S = 3f60
A = b84e, B = 62f7, Cin = 0, Cout = 1, S = 1b45
A = b84e, B = 3278, Cin = 0, Cout = 0, S = eac6
A = 7da2, B = 0000, Cin = 0, Cout = 0, S = 7da2
A = 7da2, B = 0001, Cin = 0, Cout = 0, S = 7da3
A = 7da2, B = 1111, Cin = 0, Cout = 0, S = 8eb3
A = 7da2, B = aaaa, Cin = 0, Cout = 1, S = 284c
A = 7da2, B = 5555, Cin = 0, Cout = 0, S = d2f7
A = 7da2, B = ffff, Cin = 0, Cout = 1, S = 7da1
A = 7da2, B = ff00, Cin = 0, Cout = 1, S = 7ca2
A = 7da2, B = 00ff, Cin = 0, Cout = 0, S = 7ea1
A = 7da2, B = 7fff, Cin = 0, Cout = 0, S = fda1
A = 7da2, B = 8000, Cin = 0, Cout = 0, S = fda2
A = 7da2, B = f9e8, Cin = 0, Cout = 1, S = 778a
A = 7da2, B = c91b, Cin = 0, Cout = 1, S = 46bd
A = 7da2, B = fa50, Cin = 0, Cout = 1, S = 77f2
A = 7da2, B = 92a3, Cin = 0, Cout = 1, S = 1045
A = 7da2, B = b84e, Cin = 0, Cout = 1, S = 35f0
A = 7da2, B = 7da2, Cin = 0, Cout = 0, S = fb44
A = 7da2, B = 05a5, Cin = 0, Cout = 0, S = 8347
A = 7da2, B = 6ea1, Cin = 0, Cout = 0, S = ec43
A = 7da2, B = 6740, Cin = 0, Cout = 0, S = e4e2
A = 7da2, B = aa06, Cin = 0, Cout = 1, S = 27a8
A = 7da2, B = 7707, Cin = 0, Cout = 0, S = f4a9
A = 7da2, B = 661e, Cin = 0, Cout = 0, S = e3c0
A = 7da2, B = aa27, Cin = 0, Cout = 1, S = 27c9
A = 7da2, B = 9475, Cin = 0, Cout = 1, S = 1217
A = 7da2, B = 3cb2, Cin = 0, Cout = 0, S = ba54
A = 7da2, B = 5b5d, Cin = 0, Cout = 0, S = d8ff
A = 7da2, B = 2875, Cin = 0, Cout = 0, S = a617
A = 7da2, B = ab6b, Cin = 0, Cout = 1, S = 290d
A = 7da2, B = 1bcd, Cin = 0, Cout = 0, S = 996f
A = 7da2, B = 8f61, Cin = 0, Cout = 1, S = 0d03
A = 7da2, B = ef5c, Cin = 0, Cout = 1, S = 6cfe
A = 7da2, B = e08c, Cin = 0, Cout = 1, S = 5e2e
A = 7da2, B = be66, Cin = 0, Cout = 1, S = 3c08
A = 7da2, B = a2ce, Cin = 0, Cout = 1, S = 2070
A = 7da2, B = 71b2, Cin = 0, Cout = 0, S = ef54
A = 7da2, B = a50d, Cin = 0, Cout = 1, S = 22af
A = 7da2, B = 6c3f, Cin = 0, Cout = 0, S = e9e1
A = 7da2, B = 5b04, Cin = 0, Cout = 0, S = d8a6
A = 7da2, B = d88a, Cin = 0, Cout = 1, S = 562c
A = 7da2, B = 1321, Cin = 0, Cout = 0, S = 90c3
A = 7da2, B = 5183, Cin = 0, Cout = 0, S = cf25
A = 7da2, B = 90a4, Cin = 0, Cout = 1, S = 0e46
A = 7da2, B = e310, Cin = 0, Cout = 1, S = 60b2
A = 7da2, B = 3e8c, Cin = 0, Cout = 0, S = bc2e
A = 7da2, B = 5ce3, Cin = 0, Cout = 0, S = da85
A = 7da2, B = 1d12, Cin = 0, Cout = 0, S = 9ab4
A = 7da2, B = 869d, Cin = 0, Cout = 1, S = 043f
A = 7da2, B = 4cad, Cin = 0, Cout = 0, S = ca4f
A = 7da2, B = 7940, Cin = 0, Cout = 0, S = f6e2
A = 7da2, B = 0b63, Cin = 0, Cout = 0, S = 8905
A = 7da2, B = d71b, Cin = 0, Cout = 1, S = 54bd
A = 7da2, B = 654c, Cin = 0, Cout = 0, S = e2ee
A = 7da2, B = 8c4a, Cin = 0, Cout = 1, S = 09ec
A = 7da2, B = 60c5, Cin = 0, Cout = 0, S = de67
A = 7da2, B = 0de9, Cin = 0, Cout = 0, S = 8b8b
A = 7da2, B = 3472, Cin = 0, Cout = 0, S = b214
A = 7da2, B = 6930, Cin = 0, Cout = 0, S = e6d2
A = 7da2, B = 84f7, Cin = 0, Cout = 1, S = 0299
A = 7da2, B = 363d, Cin = 0, Cout = 0, S = b3df
A = 7da2, B = 62e7, Cin = 0, Cout = 0, S = e089
A = 7da2, B = 0c50, Cin = 0, Cout = 0, S = 89f2
A = 7da2, B = b32c, Cin = 0, Cout = 1, S = 30ce
A = 7da2, B = 22da, Cin = 0, Cout = 0, S = a07c
A = 7da2, B = 27f2, Cin = 0, Cout = 0, S = a594
A = 7da2, B = 95af, Cin = 0, Cout = 1, S = 1351
A = 7da2, B = c86f, Cin = 0, Cout = 1, S = 4611
A = 7da2, B = 24bd, Cin = 0, Cout = 0, S = a25f
A = 7da2, B = 3eed, Cin = 0, Cout = 0, S = bc8f
A = 7da2, B = 68bd, Cin = 0, Cout = 0, S = e65f
A = 7da2, B = 85ce, Cin = 0, Cout = 1, S = 0370
A = 7da2, B = 9c7e, Cin = 0, Cout = 1, S = 1a20
A = 7da2, B = db66, Cin = 0, Cout = 1, S = 5908
A = 7da2, B = a641, Cin = 0, Cout = 1, S = 23e3
A = 7da2, B = 75a8, Cin = 0, Cout = 0, S = f34a
A = 7da2, B = d548, Cin = 0, Cout = 1, S = 52ea
A = 7da2, B = 31f9, Cin = 0, Cout = 0, S = af9b
A = 7da2, B = a33c, Cin = 0, Cout = 1, S = 20de
A = 7da2, B = 0421, Cin = 0, Cout = 0, S = 81c3
A = 7da2, B = c0c2, Cin = 0, Cout = 1, S = 3e64
A = 7da2, B = f89a, Cin = 0, Cout = 1, S = 763c
A = 7da2, B = 173e, Cin = 0, Cout = 0, S = 94e0
A = 7da2, B = 4a0b, Cin = 0, Cout = 0, S = c7ad
A = 7da2, B = cdf5, Cin = 0, Cout = 1, S = 4b97
A = 7da2, B = 415a, Cin = 0, Cout = 0, S = befc
A = 7da2, B = 9bbe, Cin = 0, Cout = 1, S = 1960
A = 7da2, B = d3ad, Cin = 0, Cout = 1, S = 514f
A = 7da2, B = 7290, Cin = 0, Cout = 0, S = f032
A = 7da2, B = eea6, Cin = 0, Cout = 1, S = 6c48
A = 7da2, B = 433d, Cin = 0, Cout = 0, S = c0df
A = 7da2, B = c25e, Cin = 0, Cout = 1, S = 4000
